id,name,value,year,lastValue,rank
1162,Slovenia,14.0,2017,13.0,84
1163,Cuba,15.767445772739544,2022,15.617612734682863,84
1164,Syria,14.0,2018,14.0,84
1165,Cuba,15.467779696626184,2020,15.467779696626184,84
1166,Cuba,15.467779696626184,2019,16.0,84
1167,Cuba,15.617612734682863,2021,15.467779696626184,84
1168,Bosnia and Herzegovina,16.481340355600544,2026,16.083593742240218,84
1169,Bosnia and Herzegovina,17.27683358232119,2028,16.879086968960866,84
1170,Cuba,16.067111848852903,2024,15.917278810796224,84
1171,Bosnia and Herzegovina,17.674580195681514,2029,17.27683358232119,84
1172,Cuba,15.917278810796224,2023,15.767445772739544,84
1173,Bosnia and Herzegovina,16.879086968960866,2027,16.481340355600544,84
1174,Cuba,16.216944886909584,2025,16.067111848852903,84
1175,Sri Lanka,13.0,2016,0.0,84
1176,Cuba,16.816277039136306,2029,16.666444001079626,85
1177,Sri Lanka,14.0,2017,13.0,85
1178,Sri Lanka,13.0,2018,14.0,85
1179,Bosnia and Herzegovina,14.0948606754386,2020,14.0948606754386,85
1180,Bosnia and Herzegovina,16.083593742240218,2025,15.685847128879896,85
1181,Cuba,16.516610963022945,2027,16.366777924966264,85
1182,Cuba,16.666444001079626,2028,16.516610963022945,85
1183,Bosnia and Herzegovina,14.0948606754386,2019,12.0,85
1184,Bosnia and Herzegovina,14.492607288798922,2021,14.0948606754386,85
1185,Cuba,16.366777924966264,2026,16.216944886909584,85
1186,Burma,13.0,2016,0.0,85
1187,Bosnia and Herzegovina,15.28810051551957,2023,14.890353902159248,85
1188,Bosnia and Herzegovina,15.685847128879896,2024,15.28810051551957,85
1189,Bosnia and Herzegovina,14.890353902159248,2022,14.492607288798922,85
1190,Lithuania,13.624045973549258,2021,13.29555394561404,86
1191,Lithuania,15.266506113225372,2026,14.938014085290147,86
1192,Lithuania,14.938014085290147,2025,14.609522057354926,86
1193,Tajikistan,13.0,2016,0.0,86
1194,Lithuania,14.281030029419703,2023,13.95253800148448,86
1195,Zambia,13.0,2018,12.0,86
1196,Tajikistan,14.0,2017,13.0,86
1197,Lithuania,13.29555394561404,2019,11.0,86
1198,Lithuania,13.95253800148448,2022,13.624045973549258,86
1199,Lithuania,14.609522057354926,2024,14.281030029419703,86
1200,Lithuania,16.25198219703104,2029,15.923490169095816,86
1201,Lithuania,15.594998141160596,2027,15.266506113225372,86
1202,Lithuania,15.923490169095816,2028,15.594998141160596,86
1203,Lithuania,13.29555394561404,2020,13.29555394561404,86
1204,Zambia,12.0,2017,11.0,87
1205,Mozambique,15.291633305802968,2027,14.955073716126854,87
1206,Paraguay,12.0,2016,0.0,87
1207,Mozambique,14.955073716126854,2026,14.61851412645074,87
1208,Mozambique,13.6088353574224,2022,13.272275767746288,87
1209,Mozambique,13.945394947098514,2023,13.6088353574224,87
1210,Mozambique,14.281954536774627,2024,13.945394947098514,87
1211,Mozambique,12.935716178070177,2019,13.0,87
1212,Mozambique,12.935716178070177,2020,12.935716178070177,87
1213,Mozambique,14.61851412645074,2025,14.281954536774627,87
1214,Mozambique,15.964752485155191,2029,15.62819289547908,87
1215,Mozambique,13.272275767746288,2021,12.935716178070177,87
1216,Mozambique,13.0,2018,14.0,87
1217,Mozambique,15.62819289547908,2028,15.291633305802968,87
1218,Paraguay,12.0,2017,12.0,88
1219,Kyrgyzstan,12.77176494736842,2020,12.77176494736842,88
1220,Kyrgyzstan,15.687294979757086,2029,15.363347198380568,88
1221,Kyrgyzstan,15.039399417004049,2027,14.715451635627533,88
1222,Bosnia and Herzegovina,12.0,2016,0.0,88
1223,Kyrgyzstan,14.715451635627533,2026,14.391503854251011,88
1224,Kyrgyzstan,13.419660510121458,2022,13.09571272874494,88
1225,Kyrgyzstan,13.09571272874494,2021,12.77176494736842,88
1226,Kyrgyzstan,13.743608291497976,2023,13.419660510121458,88
1227,Kyrgyzstan,15.363347198380568,2028,15.039399417004049,88
1228,Kyrgyzstan,14.391503854251011,2025,14.067556072874494,88
1229,Kyrgyzstan,14.067556072874494,2024,13.743608291497976,88
